Perguntas,Opção1,Opção2,Opção3,Opção4,Resposta Correta
"O plural de ""child"" é:",childs,childrens,childes,children,4
"Qual é o passado de ""go""?",goed,gone,went,going,3
"Traduza: ""She is reading a book"".",Ela lê um livro.,Ela está lendo um livro.,Ela vai ler um livro.,Ela leu um livro.,2
"Qual é o oposto de ""happy""?",sad,angry,nervous,tired,1
"A palavra ""beautiful"" significa:",feio,bonito,alto,pequeno,2
"O verbo ""to be"" no presente para ""they"" é:",is,am,are,be,3
"Complete: ""I ___ playing soccer now.""",am,is,are,be,1
Qual destas é uma cor em inglês?,cat,book,dog,blue,4
A tradução de “How old are you?” é:,Onde você mora?,Qual é o seu nome?,Quantos anos você tem?,O que você está fazendo?,3
O contrário de “big” é:,tall,small,short,low,2